//
// Categorizes graphics chips into various classes by name
//
// The table contains chip names regular expressions to match
// against driver strings, a class number, and whether we claim
// to support them or not.
//
// Class Numbers:
//		0 - Defaults to low graphics settings.  No shaders on by default
//		1 - Defaults to mid graphics settings.  Basic shaders on by default
//		2 - Defaults to high graphics settings.  Atmospherics on by default.
//		3 - Same as class 2 for now.
//
// Supported Number:
//		0 - We claim to not support this card.
//		1 - We claim to support this card.
//
// Format:
//   <chip name>	<regexp>	<class>		<supported>
//

3Dfx							.*3Dfx.*							0		0
3Dlabs							.*3Dlabs.*							0		0
ATI 3D-Analyze					.*ATI.*3D-Analyze.*					0		0
ATI All-in-Wonder 7500			.*ATI.*All-in-Wonder 75.*			0		1
ATI All-in-Wonder 8500			.*ATI.*All-in-Wonder 85.*			0		1
ATI All-in-Wonder 9200			.*ATI.*All-in-Wonder 92.*			0		1
ATI All-in-Wonder 9xxx			.*ATI.*All-in-Wonder 9.*			1		1
ATI All-in-Wonder HD			.*ATI.*All-in-Wonder HD.*			1		1
ATI All-in-Wonder X600			.*ATI.*All-in-Wonder X6.*			1		1
ATI All-in-Wonder X800			.*ATI.*All-in-Wonder X8.*			2		1
ATI All-in-Wonder X1800			.*ATI.*All-in-Wonder X18.*			3		1
ATI All-in-Wonder X1900			.*ATI.*All-in-Wonder X19.*			3		1
ATI All-in-Wonder PCI-E			.*ATI.*All-in-Wonder.*PCI-E.*		1		1
ATI All-in-Wonder Radeon 		.*ATI.*All-in-Wonder Radeon.*		0		1
ATI ASUS A9xxx					.*ATI.*ASUS.*A9.*					1		1
ATI ASUS AH24xx					.*ATI.*ASUS.*AH24.*					1		1
ATI ASUS AH26xx					.*ATI.*ASUS.*AH26.*					3		1
ATI ASUS AH34xx					.*ATI.*ASUS.*AH34.*					1		1
ATI ASUS AH36xx					.*ATI.*ASUS.*AH36.*					3		1
ATI ASUS AH46xx					.*ATI.*ASUS.*AH46.*					3		1
ATI ASUS AX3xx					.*ATI.*ASUS.*AX3.*					1		1
ATI ASUS AX5xx					.*ATI.*ASUS.*AX5.*					1		1
ATI ASUS AX8xx					.*ATI.*ASUS.*AX8.* 					2		1
ATI ASUS EAH24xx				.*ATI.*ASUS.*EAH24.*				2		1
ATI ASUS EAH26xx				.*ATI.*ASUS.*EAH26.*				3		1
ATI ASUS EAH34xx				.*ATI.*ASUS.*EAH34.*				1		1
ATI ASUS EAH36xx				.*ATI.*ASUS.*EAH36.*				3		1
ATI ASUS EAH38xx				.*ATI.*ASUS.*EAH38.*				3		1
ATI ASUS EAH43xx				.*ATI.*ASUS.*EAH43.*				1		1
ATI ASUS EAH45xx				.*ATI.*ASUS.*EAH45.*				1		1
ATI ASUS EAH48xx				.*ATI.*ASUS.*EAH48.*				3		1
ATI ASUS EAH57xx				.*ATI.*ASUS.*EAH57.*				3		1
ATI ASUS EAH58xx				.*ATI.*ASUS.*EAH58.*				3		1
ATI Radeon X1xxx				.*ATI.*ASUS.*X1.*					3		1
ATI Radeon X7xx					.*ATI.*ASUS.*X7.*					1		1
ATI Radeon X13xx				.*ATI.*Diamond X13.*				1		1
ATI Radeon X16xx				.*ATI.*Diamond X16.*				1		1
ATI Radeon X19xx				.*ATI.*Diamond X19.*				1		1
ATI Display Adapter				.*ATI.*display adapter.*			0		1
